Geno,Garden,Year,Latitude,Longitude,River,Block,Row,Column,Harmandia.Cecidomyid,ResidTps_Harmandia.Cecidomyid,Tps_adjusted_Harmandia.Cecidomyid,Phyllocolpa,ResidTps_Phyllocolpa,Tps_adjusted_Phyllocolpa,Chrysomela.scripta,ResidTps_Chrysomela.scripta,Tps_adjusted_Chrysomela.scripta,Blotchminer,ResidTps_Blotchminer,Tps_adjusted_Blotchminer,Phyllocnistis.populiella,ResidTps_Phyllocnistis.populiella,Tps_adjusted_Phyllocnistis.populiella,ShannonWeaverDiversity,Abundance,Richness
BESC-294,Clatskanie,12-Jul,47.84383784,-121.9741185,Skykomish,1,14,3,0,-8.660589857,-1.256095475,1,-0.4768502,0.988037441,0,-0.379520072,0.522165322,0,-0.131230544,0.003600916,0,-0.521020921,-0.085627662,1.329661349,6,4
BESC-86,Clatskanie,12-Jul,46.11770919,-122.9919321,Columbia,1,19,3,8,-2.779149049,4.625345333,2,0.628744334,2.093631974,0,-0.452243912,0.449441482,0,-0.123467566,0.011363894,2,1.53736464,1.972757899,1.674014308,34,7
BESC-869,Clatskanie,12-Jul,47.85920455,-121.8109786,Skykomish,1,31,3,30,15.21030611,22.61480049,1,-0.147890576,1.316997064,0,-0.44368769,0.457997703,0,-0.107197028,0.027634433,0,-0.663666351,-0.228273093,0.404509942,33,4
BESC-246,Clatskanie,12-Jul,47.04953684,-122.1990668,Puyallup,2,69,3,0,-3.264003695,4.140490687,3,1.731829926,3.196717566,0,-0.447968373,0.45371702,0,-0.104522443,0.030309017,0,-0.292108401,0.143284858,1.342125723,16,4
BESC-86,Clatskanie,12-Jul,46.11770919,-122.9919321,Columbia,3,102,3,0,-5.117286799,2.287207583,0,-0.34742019,1.11746745,0,-0.010516433,0.89116896,0,-0.105781091,0.02905037,0,-0.447425026,-0.012031768,0.99502699,9,3
BESC-4,Clatskanie,12-Jul,46.1698489,-123.0500854,Columbia,3,105,3,5,0.705731711,8.110226093,0,-0.209763796,1.255123845,0,0.006416855,0.908102248,0,-0.105154202,0.029677259,0,-0.510249494,-0.074856235,1.544479521,20,5
BESC-29,Clatskanie,12-Jul,46.10611056,-122.8861222,Columbia,2,56,4,0,-3.30596579,4.098528592,1,0.161435202,1.626322843,3,2.335494266,3.23717966,0,-0.103407016,0.031424445,1,0.440134041,0.875527299,1.75192641,21,7
BESC-803,Clatskanie,12-Jul,47.07671827,-122.2017492,Puyallup,3,99,4,8,0.06774238,7.472236762,0,-0.908260948,0.556626693,0,-0.004513864,0.897171529,0,-0.10967559,0.02515587,0,-0.768247818,-0.33285456,0.925129084,13,3
BESC-137,Clatskanie,12-Jul,46.11081616,-122.9802577,Columbia,1,13,5,0,-4.860867454,2.543626928,0,-2.072499387,-0.607611746,0,-0.175447259,0.726238134,0,-0.139150969,-0.004319508,0,-0.519477225,-0.084083966,0.636514168,3,2
BESC-258,Clatskanie,12-Jul,47.84115328,-121.9826349,Skykomish,1,34,5,7,1.26350617,8.668000552,2,1.057804518,2.522692159,0,-0.363916109,0.537769284,0,-0.108677805,0.026153656,2,1.264904737,1.700297996,1.653970476,24,6
BESC-421,Clatskanie,12-Jul,48.52426574,-122.0139794,Skagit,3,91,5,18,5.231745456,12.63623984,2,0.406965157,1.871852797,0,-0.032041028,0.869644365,0,-0.114720532,0.020110928,1,-0.07685873,0.358534529,1.205789507,33,5
BESC-290,Clatskanie,12-Jul,47.84657478,-121.9667487,Skykomish,2,39,6,6,0.321231424,7.725725807,0,-0.608394066,0.856493575,0,-0.340867884,0.56081751,0,-0.107917686,0.026913775,1,0.281161501,0.71655476,1.400510996,27,5
BESC-196,Clatskanie,12-Jul,47.09009537,-122.2140071,Puyallup,3,76,6,7,-1.384558408,6.019935974,0,-1.027948436,0.436939204,0,-0.150948504,0.750736889,0,-0.117479481,0.01735198,1,0.428795542,0.864188801,1.430685336,14,6
BESC-833,Clatskanie,12-Jul,47.03904362,-122.2016154,Puyallup,3,77,6,10,1.049532098,8.45402648,1,-0.068892568,1.395995073,0,-0.136807443,0.76487795,0,-0.117776547,0.017054913,0,-0.612349187,-0.176955929,1.303552415,28,5
HRSO-27-3,Clatskanie,12-Jul,49.28333333,-121.95,Fraser,1,20,7,3,-2.324155695,5.080338687,0,-1.634893157,-0.170005517,0,-0.515663369,0.386022024,0,-0.133712262,0.001119199,0,-0.310074405,0.125318854,1.265856752,13,4
BESC-184,Clatskanie,12-Jul,47.08424429,-122.2045619,Puyallup,3,87,7,20,6.448469803,13.85296419,0,-2.092240075,-0.627352434,0,-0.026227583,0.87545781,0,-0.123028682,0.011802778,3,1.620081939,2.055475197,0.907468311,28,4
BESC-102,Clatskanie,12-Jul,46.11250444,-122.9870014,Columbia,1,18,8,3,-1.587921769,5.816572613,0,-1.865048455,-0.400160814,1,0.295814416,1.19749981,0,-0.140061272,-0.005229812,1,0.591344545,1.026737803,1.585770835,13,6
BESC-103,Clatskanie,12-Jul,46.11250989,-122.9878284,Columbia,2,50,8,10,3.61094346,11.01543784,0,-0.616206122,0.848681518,0,-0.22887827,0.672807124,0,-0.112351625,0.022479836,0,-0.384414706,0.050978552,1.02096077,25,3
SQMC-25-4,Clatskanie,12-Jul,50.1,-123.3666667,Squamish,3,94,9,8,-2.591930423,4.812563959,10,6.155971774,7.620859415,0,-0.030301771,0.871383622,0,-0.128564303,0.006267157,3,0.945690793,1.381084052,1.469034531,30,5
SQMC-25-5,Clatskanie,12-Jul,50.1,-123.3666667,Squamish,1,5,10,42,23.38196388,30.78645826,2,-0.28899361,1.17589403,0,-0.47398219,0.427703203,0,-0.166247798,-0.031416337,1,0.351587974,0.786981232,0.956357167,58,6
BESC-103,Clatskanie,12-Jul,46.11250989,-122.9878284,Columbia,1,15,10,17,11.7431685,19.14766288,9,6.653462655,8.118350296,0,-1.378420643,-0.47673525,0,-0.150705557,-0.015874096,0,-0.36711037,0.068282888,1.39042584,34,7
BESC-351,Clatskanie,12-Jul,48.49472313,-122.1543214,Skagit,1,27,10,4,-0.551868365,6.852626017,0,-1.378177169,0.086710472,6,5.178592299,6.080277692,0,-0.128589137,0.006242324,0,-0.330707973,0.104685285,1.011404265,12,3
KLNG-20-1,Clatskanie,12-Jul,51.3,-125.7666667,Klinaklini,3,84,10,1,-9.3845524,-1.980058018,3,0.498527053,1.963414693,0,-0.076282999,0.825402394,2,1.865367755,2.000199216,0,-0.858922554,-0.423529296,1.546598686,11,5
BESC-258,Clatskanie,12-Jul,47.84115328,-121.9826349,Skykomish,3,104,10,13,3.465262065,10.86975645,1,-1.872590242,-0.407702602,0,-0.045237319,0.856448075,0,-0.126701247,0.008130214,5,2.13260022,2.567993478,1.634359574,30,7
BESC-443,Clatskanie,12-Jul,48.52324507,-122.0089924,Skagit,1,18,11,5,1.122966404,8.527460786,2,-0.299336422,1.165551219,9,7.149703789,8.051389182,0,-0.148204631,-0.01337317,0,-0.326727044,0.108666215,1.115065984,17,4
BESC-803,Clatskanie,12-Jul,47.07671827,-122.2017492,Puyallup,2,61,11,7,1.319282716,8.723777098,0,-1.257095693,0.207791947,0,-0.028740395,0.872944999,0,-0.126800929,0.008030531,0,-0.194599102,0.240794156,0.610864302,10,2
LILB-26-5,Clatskanie,12-Jul,50.55,-123.2,Lillooet,3,74,11,0,-7.356742271,0.047752111,1,-0.377492444,1.087395197,0,-0.081528431,0.820156962,0,-0.13472296,0.000108501,0,-0.250189138,0.18520412,1.011404265,6,3
BESC-443,Clatskanie,12-Jul,48.52324507,-122.0089924,Skagit,1,12,12,8,0.776528879,8.181023261,1,-0.847968473,0.616919168,0,-1.84077235,-0.939086957,0,-0.162564005,-0.027732544,0,-0.356302487,0.079090771,1.446918983,17,6
BESC-290,Clatskanie,12-Jul,47.84657478,-121.9667487,Skykomish,1,24,12,1,-2.965881245,4.438613137,2,0.45387834,1.91876598,0,-1.176304773,-0.27461938,0,-0.139092719,-0.004261259,0,-0.389538115,0.045855143,1.299650964,16,5
BESC-294,Clatskanie,12-Jul,47.84383784,-121.9741185,Skykomish,2,42,12,7,1.685068589,9.089562971,2,0.098874553,1.563762194,0,-0.061504672,0.840180721,0,-0.120091963,0.014739498,0,-0.286824498,0.148568761,1.52567152,21,5
BESC-211,Clatskanie,12-Jul,47.09827694,-122.2200477,Puyallup,3,90,12,11,2.309357867,9.713852249,3,-0.417259896,1.047627745,0,-0.218429286,0.683256107,0,-0.13788319,-0.003051729,0,-1.165773787,-0.730380529,1.317648219,21,5
KLNG-20-1,Clatskanie,12-Jul,51.3,-125.7666667,Klinaklini,1,3,13,2,-16.22916225,-8.824667867,1,-0.82818693,0.63670071,0,-0.583852413,0.317832981,0,-0.178743205,-0.043911744,1,0.398674468,0.834067726,1.735126457,9,6
BESC-211,Clatskanie,12-Jul,47.09827694,-122.2200477,Puyallup,1,4,13,0,-17.09742089,-9.692926505,0,-1.805543799,-0.340656159,0,-0.716530001,0.185155392,0,-0.177510231,-0.042678771,0,-0.573816878,-0.138423619,0,1,1
BESC-15,Clatskanie,12-Jul,46.16332702,-123.0436446,Columbia,2,40,13,0,-4.846310494,2.558183888,1,-1.34769005,0.117197591,0,-0.088594165,0.813091228,0,-0.122175571,0.01265589,0,-0.311379305,0.124013953,1.376055285,14,5
CNYH-28-3,Clatskanie,12-Jul,49.66666667,-125.0666667,Courtenay,1,28,15,0,-5.802139643,1.602354739,4,1.634660357,3.099547998,0,-0.586020869,0.315664524,0,-0.138137729,-0.003306268,1,0.610340212,1.045733471,1.616282449,19,6
KLNG-20-1,Clatskanie,12-Jul,51.3,-125.7666667,Klinaklini,2,56,15,0,-5.075048378,2.329446004,7,3.657775076,5.122662716,0,0.059134051,0.960819444,1,0.870001762,1.004833223,1,0.723137216,1.158530474,1.548973927,24,6
BESC-80,Clatskanie,12-Jul,46.11918591,-122.9952942,Columbia,2,68,15,0,-4.264505969,3.139988413,1,-1.35978812,0.105099521,0,-0.134466261,0.767219132,2,1.861264477,1.996095937,1,0.74692697,1.182320229,1.809514256,14,7
BESC-4,Clatskanie,12-Jul,46.1698489,-123.0500854,Columbia,1,4,16,0,-15.71969039,-8.315196006,7,4.820910798,6.285798439,0,-0.682162804,0.219522589,0,-0.184715305,-0.049883845,0,-0.379367373,0.056025885,1.234267866,12,5
LILB-26-5,Clatskanie,12-Jul,50.55,-123.2,Lillooet,1,19,16,0,-6.146602856,1.257891526,5,3.357544854,4.822432495,0,-1.124944646,-0.223259253,0,-0.160351886,-0.025520426,1,0.617548348,1.052941606,1.60509866,21,7
BESC-421,Clatskanie,12-Jul,48.52426574,-122.0139794,Skagit,2,49,16,22,13.52043629,20.92493067,5,1.522045102,2.986932743,0,0.056238927,0.95792432,0,-0.125792218,0.009039243,0,-0.211342697,0.224050561,1.300550143,37,7
BESC-319,Clatskanie,12-Jul,47.85509851,-121.7329027,Skykomish,1,12,17,4,-1.730047782,5.6744466,1,-1.112782538,0.352105103,0,-1.371347826,-0.469662433,0,-0.174864067,-0.040032606,0,-0.248092484,0.187300774,1.213007566,8,4
BESC-805,Clatskanie,12-Jul,47.07800455,-122.202748,Puyallup,1,25,17,3,-3.616174707,3.788319675,0,-1.654989957,-0.190102317,0,-0.621247999,0.280437394,0,-0.147618586,-0.012787126,0,-0.540984569,-0.10559131,0,3,1
BESC-86,Clatskanie,12-Jul,46.11770919,-122.9919321,Columbia,2,69,17,16,11.34877959,18.75327397,0,-2.904525108,-1.439637468,0,-0.307562014,0.59412338,0,-0.137512815,-0.002681354,0,-0.195046371,0.240346887,0.861790145,22,4
BESC-42,Clatskanie,12-Jul,46.10231071,-122.8804939,Columbia,3,74,17,1,-2.864369231,4.540125151,3,-0.123523706,1.341363935,0,-0.528118457,0.373566936,0,-0.139779886,-0.004948425,0,-0.212543212,0.222850047,1.240684292,11,4
HRSO-27-3,Clatskanie,12-Jul,49.28333333,-121.95,Fraser,1,4,18,25,8.717583179,16.12207756,0,-1.49460222,-0.02971458,0,-0.661928231,0.239757162,0,-0.185298784,-0.050467323,0,-0.313947354,0.121445905,1.103689115,45,4
BESC-421,Clatskanie,12-Jul,48.52426574,-122.0139794,Skagit,1,18,18,21,13.84478353,21.24927791,1,-0.464697611,1.00019003,0,-0.957526819,-0.055841426,2,1.835392243,1.970223704,1,0.604328474,1.039721732,0.881593709,28,5
KTMA-12-2,Clatskanie,12-Jul,54.25,-128.5166667,Kitimat,2,50,18,0,-5.821217092,1.58327729,3,-0.064552219,1.400335422,0,0.003556038,0.905241432,0,-0.124866163,0.009965298,0,-0.204760339,0.23063292,1.08219553,8,3
SQMC-25-4,Clatskanie,12-Jul,50.1,-123.3666667,Squamish,2,59,18,0,-3.152818419,4.251675963,1,-1.992048246,-0.527160606,0,-0.071588374,0.830097019,0,-0.129406942,0.005424518,0,-0.188200484,0.247192774,1.33217904,5,4
KTMA-12-2,Clatskanie,12-Jul,54.25,-128.5166667,Kitimat,3,73,18,0,-3.32201675,4.082477632,9,5.620525014,7.085412654,0,-0.606862685,0.294822708,0,-0.137781424,-0.002949963,0,-0.221526057,0.213867201,0.937155853,13,4
BESC-833,Clatskanie,12-Jul,47.03904362,-122.2016154,Puyallup,1,12,19,2,-2.85015375,4.554340632,1,-0.247185406,1.217702234,0,-1.06582149,-0.164136097,0,-0.173776493,-0.038945032,0,-0.207808061,0.227585197,1.559581156,8,5
BESC-184,Clatskanie,12-Jul,47.08424429,-122.2045619,Puyallup,1,18,19,3,-2.78200735,4.622487032,0,-1.149626895,0.315260746,2,1.14151548,2.043200873,0,-0.163363353,-0.028531892,0,-0.404582859,0.0308104,1.437701444,14,5
BESC-196,Clatskanie,12-Jul,47.09009537,-122.2140071,Puyallup,1,15,20,1,-2.623421248,4.781073134,0,-0.976506769,0.488380871,0,-0.968462781,-0.066777388,0,-0.16647119,-0.03163973,1,0.69293067,1.128323929,1.560710409,6,5
CA-05-04,Clatskanie,12-Jul,39.31732,-120.50216,Tahoe,2,38,20,0,-11.72386829,-4.319373905,0,-1.330924929,0.133962712,0,-0.308515078,0.593170316,0,-0.125313463,0.009517998,0,-0.302911542,0.132481716,0,2,1
BESC-319,Clatskanie,12-Jul,47.85509851,-121.7329027,Skykomish,3,84,20,0,-4.001454382,3.40304,1,-1.323465427,0.141422214,4,2.494992103,3.396677496,1,0.862218944,0.997050404,1,0.543044268,0.978437526,1.89372505,29,9
BESC-103,Clatskanie,12-Jul,46.11250989,-122.9878284,Columbia,3,94,20,6,-1.115232249,6.289262133,1,-0.638418931,0.826468709,0,-1.232881626,-0.331196232,0,-0.137546207,-0.002714746,0,-0.395204029,0.04018923,1.462953763,21,5
BESC-42,Clatskanie,12-Jul,46.10231071,-122.8804939,Columbia,1,17,21,0,-3.38771708,4.016777302,2,1.015141649,2.480029289,0,-0.994986592,-0.093301199,0,-0.159488705,-0.024657245,0,-0.363003721,0.072389537,1.029653014,10,3
BESC-102,Clatskanie,12-Jul,46.11250444,-122.9870014,Columbia,2,61,21,4,1.998895773,9.403390155,2,-0.938475309,0.526412331,0,-0.311090664,0.590594729,0,-0.123602424,0.011229036,0,-0.271502473,0.163890785,1.490093566,27,5
BESC-15,Clatskanie,12-Jul,46.16332702,-123.0436446,Columbia,1,4,22,1,-10.215395,-2.81090062,0,-0.99771624,0.467171401,0,-0.769330895,0.132354498,0,-0.175024539,-0.040193078,2,1.473681402,1.90907466,1.467733929,12,5
BESC-246,Clatskanie,12-Jul,47.04953684,-122.1990668,Puyallup,1,24,22,6,1.167756707,8.572251089,0,-0.716970353,0.747917287,4,3.146770271,4.048455664,0,-0.142147446,-0.007315985,0,-0.362114701,0.073278558,1.354581075,17,4
BESC-319,Clatskanie,12-Jul,47.85509851,-121.7329027,Skykomish,2,50,22,0,-3.997792415,3.406701967,2,-0.223292761,1.241594879,0,-0.248846918,0.652838476,0,-0.117583258,0.017248202,1,0.552118075,0.987511334,1.809514256,14,7
LILB-26-5,Clatskanie,12-Jul,50.55,-123.2,Lillooet,2,60,22,0,-1.630497832,5.77399655,5,2.104839537,3.569727178,0,-0.363860448,0.537824945,0,-0.120334657,0.014496804,0,-0.35577492,0.079618338,1.398143697,23,5
BESC-294,Clatskanie,12-Jul,47.84383784,-121.9741185,Skykomish,3,87,22,12,5.713350186,13.11784457,3,1.16961431,2.634501951,9,7.343091067,8.244776461,0,-0.132988883,0.001842578,0,-0.481108198,-0.045714939,1.553001402,32,6
BESC-102,Clatskanie,12-Jul,46.11250444,-122.9870014,Columbia,3,92,22,13,4.942598979,12.34709336,2,0.495227887,1.960115527,0,-1.420964245,-0.519278852,0,-0.133372445,0.001459016,0,-0.356948251,0.078445008,1.17253153,35,4
BESC-815,Clatskanie,12-Jul,47.09055679,-122.2157572,Puyallup,3,99,22,0,-9.366057635,-1.961563253,0,-1.10236928,0.36251836,0,-1.012490034,-0.110804641,1,0.86726914,1.002100601,0,-0.367515176,0.067878082,1.489848796,16,5
BESC-258,Clatskanie,12-Jul,47.84115328,-121.9826349,Skykomish,2,67,23,4,2.336214577,9.740708959,2,-0.646017826,0.818869815,0,-0.682533918,0.219151475,0,-0.121076354,0.013755106,0,-0.484690635,-0.049297376,1.544479521,20,5
BESC-869,Clatskanie,12-Jul,47.85920455,-121.8109786,Skykomish,3,102,23,21,9.427951496,16.83244588,1,-0.044009165,1.420878475,1,0.153692794,1.055378187,0,-0.129372437,0.005459024,0,-0.457742504,-0.022349246,1.358885827,37,7
BESC-80,Clatskanie,12-Jul,46.11918591,-122.9952942,Columbia,1,7,24,0,-8.186809326,-0.782314944,1,-0.122373711,1.342513929,0,-1.415507193,-0.513821799,0,-0.160912422,-0.026080961,0,-0.495099656,-0.059706397,1.504788284,10,5
SKWD-24-4,Clatskanie,12-Jul,50.25,-124.0166667,Skwakwa,3,80,24,0,-2.175679549,5.228814833,1,-0.810911478,0.653976163,0,-1.22594183,-0.324256436,0,-0.124604246,0.010227214,3,2.151573589,2.586966847,1.336007382,18,5
SKWD-24-4,Clatskanie,12-Jul,50.25,-124.0166667,Skwakwa,1,25,26,0,-5.447705913,1.956788469,0,-0.518024554,0.946863087,0,-0.844322967,0.057362426,0,-0.124464411,0.010367049,0,-0.416900962,0.018492297,0.897945725,10,3
BESC-184,Clatskanie,12-Jul,47.08424429,-122.2045619,Puyallup,2,39,26,1,-7.397738338,0.006756044,0,-1.13972037,0.32516727,0,-0.658892286,0.242793107,0,-0.111117566,0.023713895,1,0.569507264,1.004900522,1.522955068,9,5
CNYH-28-3,Clatskanie,12-Jul,49.66666667,-125.0666667,Courtenay,2,58,26,0,-2.095933827,5.308560555,4,1.703771196,3.168658837,0,-0.836439792,0.065245602,0,-0.107820027,0.027011434,2,1.30279999,1.738193248,1.579233135,17,5
BESC-15,Clatskanie,12-Jul,46.16332702,-123.0436446,Columbia,3,87,26,0,-3.644980631,3.759513751,1,-0.48505992,0.979827721,0,-1.009915887,-0.108230494,0,-0.119912607,0.014918853,1,0.270940571,0.70633383,1.767009191,15,7
SQMA-25-2,Clatskanie,12-Jul,49.86666667,-123.2333333,Squamish,1,17,27,0,-3.188922971,4.215571411,2,0.665243874,2.130131514,0,-1.549128483,-0.64744309,0,-0.130448866,0.004382594,0,-0.350307914,0.085085345,0.990835386,15,3
BESC-351,Clatskanie,12-Jul,48.49472313,-122.1543214,Skagit,3,84,27,2,-0.858804284,6.545690098,0,-1.652898531,-0.188010891,1,0.08082815,0.982513544,0,-0.11578928,0.01904218,0,-0.694544333,-0.259151075,1.559581156,8,5
BESC-805,Clatskanie,12-Jul,47.07800455,-122.202748,Puyallup,1,17,28,8,3.463268751,10.86776313,1,-0.754867068,0.710020572,0,-1.493856873,-0.59217148,1,0.87356684,1.008398301,0,-0.430042874,0.005350384,0.983087759,12,4
BESC-351,Clatskanie,12-Jul,48.49472313,-122.1543214,Skagit,2,54,28,4,-0.519402689,6.885091693,0,-1.896814361,-0.43192672,4,2.833339254,3.735024647,0,-0.101212094,0.033619366,0,-0.547664026,-0.112270768,1.580818536,16,5
SQMC-25-5,Clatskanie,12-Jul,50.1,-123.3666667,Squamish,3,80,28,0,-2.798384101,4.606110281,3,1.061612024,2.526499665,0,-0.905577313,-0.00389192,1,0.888818053,1.023649514,0,-0.603403465,-0.168010207,1.695742534,10,6
SQMA-25-2,Clatskanie,12-Jul,49.86666667,-123.2333333,Squamish,3,95,28,0,-7.822676794,-0.418182412,1,-1.021833269,0.443054371,1,0.350037446,1.251722839,0,-0.113734563,0.021096898,0,-1.017022154,-0.581628896,1.470808476,10,5
SQMC-25-5,Clatskanie,12-Jul,50.1,-123.3666667,Squamish,2,52,29,18,12.470792,19.87528638,3,1.014604198,2.479491839,0,-1.265336357,-0.363650964,0,-0.098407154,0.036424307,0,-0.518618059,-0.083224801,1.002718265,27,4
BESC-290,Clatskanie,12-Jul,47.84657478,-121.9667487,Skykomish,3,75,29,7,3.483789505,10.88828389,3,1.063834455,2.528722096,0,-1.046739972,-0.145054579,0,-0.105489589,0.029341872,0,-0.521145141,-0.085751883,1.509273424,16,6
BESC-29,Clatskanie,12-Jul,46.10611056,-122.8861222,Columbia,3,95,29,18,9.121327524,16.52582191,4,1.595557629,3.060445269,0,-0.564870458,0.336814935,0,-0.110214639,0.024616822,3,1.798635537,2.234028795,1.841201938,47,8
BESC-815,Clatskanie,12-Jul,47.09055679,-122.2157572,Puyallup,1,13,31,0,-1.129818625,6.274675757,3,1.909947509,3.37483515,0,-1.505629337,-0.603943944,0,-0.121869144,0.012962317,1,0.513944984,0.949338242,0.950270539,5,3
BESC-42,Clatskanie,12-Jul,46.10231071,-122.8804939,Columbia,2,41,31,4,-5.335614787,2.068879595,9,6.04388877,7.508776411,0,-1.119517956,-0.217832563,0,-0.096525177,0.038306283,0,-0.509799293,-0.074406034,1.329661349,18,5
BESC-815,Clatskanie,12-Jul,47.09055679,-122.2157572,Puyallup,2,67,31,0,-3.829698882,3.5747955,0,-1.391394035,0.073493605,0,-1.577510538,-0.675825144,0,-0.095691326,0.039140135,1,0.478593825,0.913987083,1.164872912,18,5
CA-05-04,Clatskanie,12-Jul,39.31732,-120.50216,Tahoe,1,21,32,0,-9.037999757,-1.633505375,0,-1.045079453,0.419808188,0,-0.783464243,0.11822115,0,-0.109368781,0.02546268,3,2.496822544,2.932215802,1.342113179,11,4
SQMA-25-2,Clatskanie,12-Jul,49.86666667,-123.2333333,Squamish,2,66,32,15,10.16637797,17.57087235,0,-1.461028406,0.003859235,0,-1.756201155,-0.854515762,0,-0.092605366,0.042226094,0,-0.543688743,-0.108295485,1.102194959,26,4
BESC-137,Clatskanie,12-Jul,46.11081616,-122.9802577,Columbia,2,49,33,2,-7.377865747,0.026628635,0,-2.202353751,-0.73746611,6,4.211269211,5.112954604,0,-0.089769956,0.045061505,1,0.231092771,0.66648603,1.580818536,16,6
BESC-4,Clatskanie,12-Jul,46.1698489,-123.0500854,Columbia,2,60,33,0,-5.268533777,2.135960605,5,2.982289746,4.447177387,2,0.069692085,0.971377478,0,-0.089109081,0.04572238,1,0.308850265,0.744243523,1.842206878,18,8
BESC-80,Clatskanie,12-Jul,46.11918591,-122.9952942,Columbia,3,90,33,13,4.097712755,11.50220714,5,1.609807828,3.074695468,0,-0.617575412,0.284109981,0,-0.09615089,0.038680571,2,0.655410561,1.09080382,1.380660785,40,6
SQMC-25-4,Clatskanie,12-Jul,50.1,-123.3666667,Squamish,1,16,35,2,-3.947766456,3.456727926,7,5.22093924,6.68582688,0,-0.802489172,0.099196221,0,-0.109663789,0.025167672,3,2.389447443,2.824840702,1.33166431,14,5
BESC-137,Clatskanie,12-Jul,46.11081616,-122.9802577,Columbia,3,99,35,1,-4.353669828,3.050824554,3,-0.49121881,0.973668831,0,-0.309891847,0.591793546,0,-0.091271008,0.043560452,1,-0.431580411,0.003812847,0.730059171,54,7
